哀哀父母
[āi āi fù mǔ]
哀鸿遍野
[āi hóng biàn yě]
哀兵必胜
[āi bīng bì shèng]
哀哀欲绝
[āi āi yù jué]
哀感顽艳
[āi gǎn wán yàn]
哀毁骨立
[āi huǐ gǔ lì]
安分守己
[ān fèn shǒu jǐ]
暗箭难防
[àn jiàn nán fáng]
安如泰山
[ān rú tài shān]
安如磐石
[ān rú pán shí]
哀痛欲绝
[āi tòng yù jué]
傲贤慢士
[ào xián màn shì]
爱才如渴
[ài cái rú kě]
爱才若渴
[ài cái ruò kě]
爱不释手
[ài bù shì shǒu]
鞍马之劳
[ān mǎ zhī láo]
案牍劳形
[àn dú láo xíng]
鞍马劳顿
[ān mǎ láo dùn]
鞍马劳困
[ān mǎ láo kùn]
鞍马劳倦
[ān mǎ láo juàn]
鞍马劳神
[ān mǎ láo shén]
碍口识羞
[ài kǒu shí xiū]
奥援有灵
[ào yuán yǒu líng]
安眉带眼
[ān méi dài yǎn]
挨肩擦脸
[āi jiān cā liǎn]
熬肠刮肚
[áo cháng guā dù]
暗室亏心
[àn shì kuī xīn]
騃女痴男
[ái nǚ chī nán]
聱牙诎曲
[áo yá qū qū]
騃女痴儿
[ái nǚ chī ér]
安之若素
[ān zhī ruò sù]
傲世轻物
[ào shì qīng wù]
矮子看戏
[ǎi zǐ kàn xì]
爱理不理
[ài lǐ bù lǐ]
安然无恙
[ān rán wú yàng]
黯然销魂
[àn rán xiāo hún]
安其所习
[ān qí suǒ xí]
安定团结
[ān dìng tuán jié]
安土重迁
[ān tǔ zhòng qiān]
安故重迁
[ān gù zhòng qiān]
安不忘危
[ān bù wàng wēi]
安安稳稳
[ān ān wěn wěn]
安安静静
[ān ān jìng jìng]
暗香疏影
[àn xiāng shū yǐng]
昂藏七尺
[áng cáng qī chǐ]
暗送秋波
[àn sòng qiū bō]
暗渡陈仓
[àn dù chén cāng]
暗无天日
[àn wú tiān rì]
暗箭伤人
[àn jiàn shāng rén]
暗度陈仓
[àn dù chén cāng]
暗室不欺
[àn shì bù qī]
暗淡无光
[àn dàn wú guāng]
爱莫能助
[ài mò néng zhù]
安堵如故
[ān dǔ rú gù]
安然如故
[ān rán rú gù]
安常守故
[ān cháng shǒu gù]
安常处顺
[ān cháng chǔ shùn]
安常守分
[ān cháng shǒu fèn]
安常履顺
[ān cháng lǚ shùn]
安常习故
[ān cháng xí gù]
安内攘外
[ān nèi rǎng wài]
哀告宾服
[āi gào bīn fú]
哀感天地
[āi gǎn tiān dì]
爱才好士
[ài cái hǎo shì]
傲头傲脑
[ào tóu ào nǎo]
爱如珍宝
[ài rú zhēn bǎo]
暗绿稀红
[àn lǜ xī hóng]
安室利处
[ān shì lì chù]
安身之处
[ān shēn zhī chù]
安身立命
[ān shēn lì mìng]
安之若命
[ān zhī ruò mìng]
爱财如命
[ài cái rú mìng]
傲睨一切
[ào nì yī qiè]
按图索骥
[àn tú suǒ jì]
按图索骏
[àn tú suǒ jùn]
挨肩并足
[āi jiān bìng zú]
暗室求物
[àn shì qiú wù]
阿家阿翁
[ā gū ā wēng]
阿鼻地狱
[ā bí dì yù]
阿狗阿猫
[ā gǒu ā māo]
阿猫阿狗
[ā māo ā gǒu]
挨山塞海
[āi shān sè hǎi]
安宅正路
[ān zhái zhèng lù]
阿平绝倒
[ā píng jué dǎo]
傲睨一世
[ào nì yī shì]
黯然失色
[àn rán shī sè]
爱势贪财
[ài shì tān cái]
挨门逐户
[āi mén zhú hù]
昂霄耸壑
[áng xiāo sǒng hè]
按名责实
[àn míng zé shí]
安份守己
[ān fèn shǒu jǐ]
熬更守夜
[áo gēng shǒu yè]
哀思如潮
[āi sī rú cháo]
鞍前马后
[ān qián mǎ hòu]
暗中摸索
[àn zhōng mō suǒ]
哀感中年
[āi gǎn zhōng nián]
暗室逢灯
[àn shì féng dēng]
哀而不伤
[āi ér bù shāng]
哀丝豪竹
[āi sī háo zhú]
哀天叫地
[āi tiān jiào dì]
安家落户
[ān jiā luò hù]
挨家挨户
[āi jiā āi hù]
安家立业
[ān jiā lì yè]
安时处顺
[ān shí chǔ shùn]
熬清守淡
[áo qīng shǒu dàn]
安步当车
[ān bù dàng chē]
懊悔无及
[ào huǐ wú jí]
黯然神伤
[àn rán shén shāng]
按兵不动
[àn bīng bù dòng]
安居乐业
[ān jū lè yè]
安车蒲轮
[ān chē pú lún]
哀鸿满路
[āi hóng mǎn lù]
安贫乐道
[ān pín lè dào]
苍白无力
[āng bái búi lì]
爱毛反裘
[ài máo fǎn qiú]
傲霜斗雪
[ào shuāng dòu xuě]
黯然无神
[àn rán wú shén]
爱鹤失众
[ài hè shī zhòng]
挨三顶五
[āi sān dǐng wǔ]
蔼然仁者
[ǎi rán rén zhě]
哀喜交并
[āi xǐ jiāo bìng]
哀梨蒸食
[āi lí zhēng shí]
昂然而入
[áng rán ér rù]
爱莫之助
[ài mò zhī zhù]
哀鸿遍地
[āi hóng biàn dì]
哀毁瘠立
[āi huǐ jī lì]
傲然屹立
[ào rán yì lì]
昂首挺胸
[áng shǒu tǐng xiōng]
案堵如故
[àn dǔ rù gù]
傲慢少礼
[ào màn shǎo lǐ]
安身为乐
[ān shēn wéi lè]
阿斗太子
[ā dǒu tài zǐ]
安于现状
[ān yú xiàn zhuàng]
盎盂相击
[àng yú xiāng jī]
爱憎分明
[ài zēng fēn míng]
凹凸不平
[āo tū bù píng]
安分知足
[ān fèn zhī zú]
碍难遵命
[ài nán zūn mìng]
岸然道貌
[àn rán dào mào]
安安分分
[ān ān fèn fèn]
僾见忾闻
[ài jiàn xì wén]
昂首阔步
[áng shǒu kuò bù]
安土重居
[ān tǔ zhòng jū]
暗约偷期
[àn yuē tōu qī]
暗约私期
[àn yuē sī qī]
謷牙诘屈
[áo yá jié qū]
安老怀少
[ān lǎo huái shào]
爱人以德
[ài rén yǐ dé]
昂首伸眉
[áng shǒu shēn méi]
哀矜勿喜
[āi jīn wù xǐ]
爱屋及乌
[ài wū jí wū]
昂昂不动
[áng áng bù dòng]
安忍无亲
[ān rěn wú qīn]
安于磐石
[ān yú pán shí]
安详恭敬
[ān xiáng gōng jìng]
爱国如家
[ài guó rú jiā]
安国宁家
[ān guó níng jiā]
黯然魂销
[àn rán hún xiāo]
唉声叹气
[āi shēng tàn qì]
爱人好士
[ài rén hào shì]
爱才如命
[ài cái rú mìng]
傲雪凌霜
[ào xuě líng shuāng]
傲骨嶙嶙
[ào gǔ lín lín]
傲不可长
[ào bù kě zhǎng]
傲雪欺霜
[ào xuě qī shuāng]
傲睨自若
[ào nì zì ruò]
安危与共
[ān wēi yǔ gòng]
爱礼存羊
[ài lǐ cún yáng]
爱非其道
[ài fēi qí dào]
爱不忍释
[ài bù rěn shì]
安闲自在
[ān xián zì zài]
昂首望天
[áng shǒu wàng tiān]
碍手碍脚
[ài shǒu ài jiǎo]
按部就班
[àn bù jiù bān]
按步就班
[àn bù jiù bān]
聱牙诘曲
[áo yá jié qū]
奥妙无穷
[ào miào wú qióng]
案无留牍
[àn wú liú dú]
案牍之劳
[àn dú zhī láo]
案剑瞋目
[àn jiàn chēn mù]
案甲休兵
[àn jiǎ xiū bīng]
案兵束甲
[àn bīng shù jiǎ]
安坐待毙
[ān zuò dài bì]
爱别离苦
[ài bié lí kǔ]
安土重旧
[ān tǔ zhòng jiù]
岸谷之变
[àn gǔ zhī bìan]
黯然伤神
[àn rán shāng shén]
安良除暴
[ān liáng chú bào]
哀乐相生
[āi lè xiāng shēng]
熬姜呷醋
[áo jiāng xiā cù]
嗷嗷待哺
[áo áo dài bǔ]
爱口识羞
[ài kǒu shí xiū]
碍难从命
[ài nán cóng mìng]
碍足碍手
[ài zú ài shǒu]
爱惜羽毛
[ài xī yǔ máo]
暗中作梗
[àn zhōng zuò gěng]
聱牙佶屈
[áo yá jí qū]
暗气暗恼
[àn qì àn nǎo]
安于一隅
[ān yù yī yù]
暗室欺心
[àn shì qī xīn]
安民告示
[ān mín gào shì]
挨肩搭背
[āi jiān dā bèi]
挨肩擦背
[āi jiān cā bèi]
挨风缉缝
[āi fēng jī fèng]
挨肩擦膀
[āi jiān cā bǎng]
安堵乐业
[ān dǔ lè yè]
爱民如子
[ài mín rú zǐ]
熬心费力
[áo xīn fèi lì]
熬油费火
[áo yóu fèi huǒ]
熬枯受淡
[áo kū shòu dàn]
熬清守谈
[áo qīng shǒu tán]
熬清受淡
[áo qīng shòu dàn]
蔼然可亲
[ǎi rán kě qīn]
安富尊荣
[ān fù zūn róng]
卬首信眉
[áng shǒu shēn méi]
爱人利物
[ài rén lì wù]
挨肩叠背
[āi jiān dié bèi]
挨肩迭背
[āi jiān dié bèi]
騃童钝夫
[ái tóng dùn fū]
爱素好古
[ài sù hào gǔ]
艾发衰容
[ài fà shuāi róng]
安身之地
[ān shēn zhī dì]
安魂定魄
[ān hún dìng pò]
挨打受骂
[ái dǎ shòu mà]
黯淡无光
[àn dàn wú guāng]
挨冻受饿
[ái dòng shòu è]
鳌里夺尊
[áo lǐ duó zūn]
暗度金针
[àn dù jīn zhēn]
暗锤打人
[àn chuí dǎ rén]
按纳不住
[àn nà bù zhù]
嗷嗷待食
[áo áo dài shí]
安闲自得
[ān xián zì dé]
安危相易
[ān wēi xiāng yì]
爱者如宝
[ài zhě rú bǎo]
按甲寝兵
[àn jiǎ qǐn bīng]
按甲休兵
[àn jiǎ xiū bīng]
暧昧之情
[ài mèi zhī qíng]
安邦定国
[ān bāng dìng guó]
安心定志
[ān xīn dìng zhì]
安神定魄
[ān shén dìng pò]
暧昧不明
[ài mèi bù míng]
安邦治国
[ān bāng zhì guó]
暗室屋漏
[àn shì wū lòu]
矮矮胖胖
[ǎi ǎi pàng pàng]
暗箭明枪
[àn jiàn míng qiāng]
矮人观场
[ǎi rén guān cháng]
矮人看场
[ǎi rén kàn chǎng]
矮人看戏
[ǎi rén kàn xì]
矮子观场
[ǎi zǐ guān cháng]
安于所习
[ān yú suǒ xí]
安适如常
[ān shì rú cháng]
傲慢无礼
[ào màn wú lǐ]
爱老慈幼
[ài lǎo cí yòu]
安然无事
[ān rán wú shì]
黯晦消沉
[àn huì xiāo chén]
黯然无色
[àn rán wú sè]
安安逸逸
[ān ān yì yì]
安分守常
[ān fèn shǒu cháng]
安富恤贫
[ān fù xù pín]
安富恤穷
[ān fù xù qióng]
安国富民
[ān guó fù mín]
安枕而卧
[ān zhěn ér wò]
昂然自得
[áng rán zì dé]
昂首天外
[áng shǒu tiān wài]
昂昂自若
[áng áng zì roò]
暗昧之事
[àn mèi zhī shì]
暗斗明争
[àn dòu míng zhēng]
暗弱无断
[àn ruò wú duàn]
爱钱如命
[ài qián rú mìng]
傲然挺立
[ào rán tǐng lì]
阿姑阿翁
[ā gū ā wēng]
挨打受气
[ái dǎ shòu qì]
按堵如故
[àn dǔ rú gù]
安贫乐贱
[ān pín lè jiàn]
按兵束甲
[àn bīng shù jiǎ]
安分守已
[ān fěn shǒu jǐ]
暗中倾轧
[àn zhōng qīng yà]
爱才怜弱
[ài cái lián ruò]
按强助弱
[àn qiáng zhù ruò]
聱牙诘屈
[áo yá jié qū]
安心乐意
[ān xīn lè yì]
矮小精悍
[ǎi xiǎo jīng hàn]
爱如己出
[ài rú jǐ chū]
暗箭中人
[àn jiàn zhòng rén]
暗室私心
[àn shì sī xīn]
鳌愤龙愁
[áo fèn lóng chóu]
安营扎寨
[ān yíng zhā zhài]
阿娇金屋
[ā jiāo jīn wū]
傲睨得志
[ào nì dé zhì]
傲睨万物
[ào nì wàn wù]
爱贤念旧
[ài xián niàn jiù]
按辔徐行
